,Weight,t,h,Δt,Δh,CYP450,PO,ApoLp
BP1_apr,0.0674,21.0968,87.3512,6.0272,9.3821,0.6982,0.5805,0.9512
BP2_apr,0.0617,20.4281,92.4458,5.8519,4.7624,1.0403,0.9168,0.9697
PA1_apr,0.0647,21.119,89.2857,4.8271,2.4233,0.9682,0.7812,1.3676
PA2_apr,0.0647,19.5174,94.2049,5.4364,2.4049,0.9257,0.8539,1.3053
BP1_feb,0.0716,22.4867,83.3769,8.3793,15.8149,1.2024,1.038,1.2295
BP2_feb,0.0751,22.4729,89.2221,6.5293,9.3084,0.9215,0.7078,1.2017
PA1_feb,0.069,22.6308,82.1408,6.4725,6.2847,0.7788,0.859,0.5966
PA2_feb,0.07,21.2658,80.7454,6.9426,3.6033,1.1281,1.3572,1.3812
BP1_jan,0.0694,25.2946,81.9382,7.6498,15.0472,1.6461,1.3397,1.6072
BP2_jan,0.0733,24.6966,85.631,6.2026,9.9544,0.8177,0.4515,0.9165
PA1_jan,0.07,24.8998,81.8278,6.0607,7.1856,0.8305,1.4244,1.7753
PA2_jan,0.0795,23.5559,80.211,6.8665,3.5537,0.6523,0.702,1.2072
BP1_mar,0.0633,21.3806,84.8817,8.2741,13.7384,1.3259,1.1509,1.5493
BP2_mar,0.0637,20.8119,90.9533,6.8478,6.2294,1.3149,0.8649,0.847
PA1_mar,0.0653,21.6636,85.9143,5.1409,3.9681,1.286,0.6337,1.0991
PA2_mar,0.0664,19.8111,92.8796,6.9682,6.6414,1.4524,0.9896,1.4803
